,Img_ID_x,Value
5,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.48.26.ims,0.03411025209202413
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.59.20.ims,0.8025256482541352
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.58.54.ims,0.07944287889662938
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.58.27.ims,0.05220147156563367
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.58.41.ims,0.055282275952085715
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.59.07.ims,1.0
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.00.11.ims,0.04560183657298899
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.00.49.ims,0.04403940116632975
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.00.37.ims,0.04431468569956697
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.59.46.ims,0.07523984952156602
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.01.02.ims,0.04391998402849853
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.59.58.ims,0.057016951564518005
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.00.24.ims,0.044721969138486244
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_18.59.33.ims,0.206970811775536
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.01.28.ims,0.04358190561244549
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.02.04.ims,0.048556875290602666
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.01.15.ims,0.043847823183340434
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.02.29.ims,0.048026924966782146
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.02.16.ims,0.04809830740747425
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.02.42.ims,0.04765287277135443
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.01.51.ims,0.048890348876471486
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.04.37.ims,0.04613664535856606
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.03.20.ims,0.04693005347126846
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.03.08.ims,0.04724187926601349
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.04.24.ims,0.046099564776005166
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.02.55.ims,0.047487083271429656
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.03.59.ims,0.04661699074524688
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.03.33.ims,0.0469250010513721
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.04.12.ims,0.046575044634680575
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.03.46.ims,0.046681151765366136
6,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.04.50.ims,0.045881651948628206
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.37.51.ims,0.9947260302995401
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.37.00.ims,0.9993689753714753
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.37.38.ims,0.9969915943574401
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.36.47.ims,0.9983240518805183
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.37.13.ims,1.0
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.37.25.ims,0.9932308755813551
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.38.17.ims,0.9966149752300014
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.38.42.ims,0.995943487846159
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.39.08.ims,0.9940325682333337
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.38.55.ims,0.9915177833730674
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.39.20.ims,0.9902719377349263
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.38.29.ims,0.9954315490869245
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.38.04.ims,0.994346914277466
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.39.33.ims,0.9915094056061579
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.40.48.ims,0.9959818757172023
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.41.13.ims,0.9965736899851028
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.40.22.ims,0.998622343588319
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.39.46.ims,0.9885367840020064
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.40.35.ims,0.9957479398717342
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.40.09.ims,0.9949048952283203
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.41.00.ims,0.9968109258367605
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.43.08.ims,0.9966708966267535
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.41.39.ims,0.9978279959261933
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.42.17.ims,0.999589978896037
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.42.43.ims,0.9975769464122631
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.42.04.ims,0.9943432295815597
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.42.30.ims,0.9941494198879072
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.42.55.ims,0.9981092995638537
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.41.52.ims,0.9949092079158349
7,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.41.26.ims,0.9975516595227298
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.14.26.ims,0.9951634973678452
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.14.00.ims,0.9988054747408956
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.14.39.ims,0.9957002314050497
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.13.48.ims,1.0
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.14.13.ims,0.9967262025480761
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.14.52.ims,0.9923585153592719
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.16.08.ims,0.9939548474129469
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.15.17.ims,0.9911500319830283
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.15.42.ims,0.9900170637743532
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.15.04.ims,0.9917180571233782
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.15.30.ims,0.9932754398587529
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.15.55.ims,0.9910966402219848
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.17.10.ims,0.9940503439469831
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.17.35.ims,0.9912067098199117
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.16.46.ims,0.9914084505134304
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.17.48.ims,0.9973840766923899
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.17.22.ims,0.995538969324617
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.16.21.ims,0.9923785554318733
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.16.34.ims,0.9931548104950076
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.19.43.ims,0.9944632806906968
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.18.52.ims,0.9970190698377956
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.19.17.ims,0.9941536645410022
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.18.14.ims,0.9968260917685742
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.18.01.ims,0.9918585665855104
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.19.30.ims,0.9971330808187809
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.18.39.ims,0.9963035330612039
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.19.05.ims,0.9935329748618412
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.18.26.ims,0.9956879023831237
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.19.56.ims,0.9940169174082204
8,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.20.08.ims,0.9966696567999938
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.21.52.ims,1.0
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.22.43.ims,0.9946444177640202
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.21.39.ims,0.9987778618249126
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.22.05.ims,0.996203369378193
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.22.30.ims,0.9964913506780214
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.22.18.ims,0.9965318113833005
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.22.56.ims,0.9994277701303916
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.21.27.ims,0.9999987219297036
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.23.59.ims,0.9912793255922783
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.23.34.ims,0.9955501004390809
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.23.47.ims,0.9948712237658321
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.24.12.ims,0.9924795409643308
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.23.21.ims,0.9906826123668319
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.24.25.ims,0.9919637565031266
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.23.08.ims,0.9955809410548221
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.26.30.ims,0.996708711607977
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.25.01.ims,0.9958794770974373
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.25.26.ims,0.9964771529201322
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.25.52.ims,0.9948071525870177
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.24.48.ims,0.9945894033825415
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.25.39.ims,0.9949871119442792
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.26.17.ims,0.9938482785087663
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.26.04.ims,0.9925851420740923
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.25.13.ims,0.9953327189188098
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.26.43.ims,0.9954991967670134
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.26.56.ims,0.9977046666382957
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.27.08.ims,0.9946374744154943
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.27.21.ims,0.9945463696231964
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.27.34.ims,0.9959827882699706
9,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_19.27.47.ims,0.997863323108092
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.15.03.ims,1.0
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.15.28.ims,0.9975889624050102
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.15.16.ims,0.9948359473478415
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.15.54.ims,0.9948021307399549
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.16.07.ims,0.9937136962599743
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.16.19.ims,0.994724833073216
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.16.32.ims,0.9940261729981389
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.15.41.ims,0.9957051164120113
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.17.36.ims,0.9920997989715259
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.17.49.ims,0.9902155467945776
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.17.10.ims,0.9931255562540277
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.18.01.ims,0.9903459182071859
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.16.58.ims,0.9920505882790127
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.17.23.ims,0.9927837395430938
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.16.45.ims,0.990597011651866
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.20.06.ims,0.999128330679859
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.18.50.ims,0.9954201396189725
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.19.15.ims,0.9936785103959473
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.18.37.ims,0.9965883253750966
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.19.53.ims,0.9975549333758356
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.19.03.ims,0.9953841700926261
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.19.28.ims,0.9950578809472634
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.19.41.ims,0.9969192734360062
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.18.24.ims,0.9948425316901308
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.20.19.ims,0.9934156562753612
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.20.32.ims,0.9961452346621772
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.20.44.ims,0.9967792038433763
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.20.57.ims,0.9981874837837696
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.21.10.ims,0.9994766944158289
10,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.21.23.ims,0.9986076423268954
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.42.35.ims,0.13529296658450435
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.43.00.ims,0.1348510018320385
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.42.08.ims,0.13610918073938008
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.42.22.ims,0.13585826994107797
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.42.48.ims,0.13537193533518774
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.44.42.ims,0.13470515594221688
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.44.30.ims,0.13463530180268019
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.43.39.ims,0.13490901860409985
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.44.04.ims,0.13481720810559514
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.44.17.ims,0.13465641229627867
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.43.51.ims,0.13463828655442223
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.43.13.ims,0.1351758686840146
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.43.26.ims,0.13563835172742847
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.45.57.ims,0.13522543716980281
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.46.09.ims,0.13529284479151815
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.46.22.ims,0.13521982229028806
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.45.44.ims,0.13488514272178298
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.44.55.ims,0.13412965724341616
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.45.08.ims,0.13373958880211112
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.45.31.ims,0.13550534535691688
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.48.05.ims,0.16992258658450704
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.47.39.ims,0.21203415523399338
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.46.48.ims,0.13779850022921153
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.47.14.ims,0.33202558723209413
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.47.52.ims,0.1719658891044671
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.46.35.ims,0.13623811106586362
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.47.01.ims,0.15649960271365287
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.47.26.ims,1.0
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.48.18.ims,0.1689537751195407
11,H2B_monastrol_500um_day1_2024-04-15_Protocol 59_20.48.31.ims,0.16778141589102483
